Description,GTINShipDate,Quantity
40lb 50ct,8/31/2016,2
40lb 55-65ct - CV,8/31/2016,0
40lb 55ct,8/31/2016,3
40lb 65-85ct,8/31/2016,4
40lb 65ct,8/31/2016,1
40lb 65ct Sysco/FP,8/31/2016,1
40lb 70-80ct - CV,8/31/2016,0
40lb 70ct,8/31/2016,0
40lb 75ct,8/31/2016,4
40lb 90ct,8/31/2016,3
40lb Bonita (White),8/31/2016,3
40lb Bonita JBO,8/31/2016,0
40lb Fingerling,8/31/2016,2
40lb Jumbo,8/31/2016,4
40lb Marble Mix,8/31/2016,1
40lb Medium,8/31/2016,0
40lb Murasaki Med,8/31/2016,1
40lb No 1,8/31/2016,4
40lb No 2,8/31/2016,0
40lb Organic,8/31/2016,1
40lb Small,8/31/2016,3
40lb Spc-Purple,8/31/2016,3
40lb Spec-Burgundy,8/31/2016,0
40lb Spec-Carolina Ruby,8/31/2016,1
500kg (150-300g),8/31/2016,7
500kg (220g-260g),8/31/2016,1
500kg (300-800g),8/31/2016,3
500kg Field Run,8/31/2016,2
500kg Giant,8/31/2016,4
500kg Pickouts,8/31/2016,0
500kg Spc - Purple ,8/31/2016,0
500kg Spc-Purple Mix,8/31/2016,0
"55"" Bin Giant",8/31/2016,5
6kg (150-300g),8/31/2016,0
6kg (300-450g)L1,8/31/2016,5
6kg (450-600g)L2,8/31/2016,6
6kg (600-800g),8/31/2016,1
HP StkHse (12-16oz),8/31/2016,2
Micro - 6Kg (24ct),8/31/2016,1
Micro 20lb 25ct,8/31/2016,0
Micro 20lb 30ct,8/31/2016,1
Murasaki Small Plastic,8/31/2016,0
Pickouts - Plastic,8/31/2016,2
Tray Pack - 4 pk 12 ct,8/31/2016,3
Unused,8/31/2016,1
10lb #1,9/30/2016,0
10lb Spec-Purple,9/30/2016,0
12/3lb Bags,9/30/2016,0
12ct Steam Bags,9/30/2016,0
18kg (100-150g),9/30/2016,0
18kg (220-260g),9/30/2016,1
18kg (600-800g),9/30/2016,0
20lb #1,9/30/2016,0
20lb Purple,9/30/2016,0
20lb Spec - Bonita No 1,9/30/2016,0
"36""Pickouts(2.5""-4.5"")",9/30/2016,0
40lb #1 Sysco/FP,9/30/2016,0
40lb 100ct,9/30/2016,0
40lb 110ct,9/30/2016,0
40lb 120ct - CV,9/30/2016,0
40lb 25-28ct - CV,9/30/2016,0
40lb 33ct,9/30/2016,0
40lb 35ct Sysco/FP,9/30/2016,0
40lb 38-40ct - CV,9/30/2016,0
40lb 45ct,9/30/2016,0
40lb 50ct,9/30/2016,0
40lb 55-65ct - CV,9/30/2016,0
40lb 55ct,9/30/2016,0
40lb 65-85ct,9/30/2016,0
40lb 65ct,9/30/2016,0
40lb 65ct Sysco/FP,9/30/2016,1
40lb 70-80ct - CV,9/30/2016,0
40lb 70ct,9/30/2016,0
40lb 75ct,9/30/2016,0
40lb 90ct,9/30/2016,0
40lb Bonita (White),9/30/2016,0
40lb Bonita JBO,9/30/2016,0
40lb Fingerling,9/30/2016,0
40lb Jumbo,9/30/2016,0
40lb Marble Mix,9/30/2016,0
40lb Medium,9/30/2016,0
40lb Murasaki Med,9/30/2016,0
40lb No 1,9/30/2016,0
40lb No 2,9/30/2016,0
40lb Organic,9/30/2016,0
40lb Spc-Purple,9/30/2016,0
40lb Spec-Burgundy,9/30/2016,0
40lb Spec-Carolina Ruby,9/30/2016,0
500kg (150-300g),9/30/2016,1
500kg (220g-260g),9/30/2016,1
500kg (300-800g),9/30/2016,0
500kg Field Run,9/30/2016,0
500kg Giant,9/30/2016,0
500kg Pickouts,9/30/2016,0
500kg Spc - Purple ,9/30/2016,0
500kg Spc-Purple Mix,9/30/2016,0
"55"" Bin Giant",9/30/2016,0
6kg (150-300g),9/30/2016,0
6kg (300-450g)L1,9/30/2016,0
6kg (450-600g)L2,9/30/2016,0
6kg (600-800g),9/30/2016,0
HP StkHse (12-16oz),9/30/2016,0
Micro - 6Kg (24ct),9/30/2016,0
Micro 20lb 25ct,9/30/2016,0
Micro 20lb 30ct,9/30/2016,0
Murasaki Small Plastic,9/30/2016,0
Pickouts - Plastic,9/30/2016,0
Tray Pack - 4 pk 12 ct,9/30/2016,0
Unused,9/30/2016,0
10lb #1,10/31/2016,0
10lb Spec-Purple,10/31/2016,0
12/3lb Bags,10/31/2016,0
12ct Steam Bags,10/31/2016,0
18kg (100-150g),10/31/2016,0
18kg (220-260g),10/31/2016,0
18kg (600-800g),10/31/2016,0
20lb #1,10/31/2016,0
20lb Purple,10/31/2016,0
20lb Spec - Bonita No 1,10/31/2016,0
"36""Pickouts(2.5""-4.5"")",10/31/2016,0
40lb #1 Sysco/FP,10/31/2016,0
40lb 100ct,10/31/2016,0
40lb 110ct,10/31/2016,0
40lb 120ct - CV,10/31/2016,0
40lb 25-28ct - CV,10/31/2016,0
40lb 33ct,10/31/2016,0
40lb 35ct Sysco/FP,10/31/2016,0
40lb 38-40ct - CV,10/31/2016,0
40lb 45ct,10/31/2016,0
40lb 50ct,10/31/2016,0
40lb 55-65ct - CV,10/31/2016,0
40lb 55ct,10/31/2016,0
40lb 65-85ct,10/31/2016,0
40lb 65ct,10/31/2016,0
40lb 65ct Sysco/FP,10/31/2016,0
40lb 70-80ct - CV,10/31/2016,0
40lb 70ct,10/31/2016,0
40lb 75ct,10/31/2016,0
40lb 90ct,10/31/2016,0
40lb Bonita (White),10/31/2016,0
40lb Bonita JBO,10/31/2016,0
40lb Fingerling,10/31/2016,0
40lb Jumbo,10/31/2016,0
40lb Marble Mix,10/31/2016,0
40lb Medium,10/31/2016,0
40lb Murasaki Med,10/31/2016,0
40lb No 1,10/31/2016,0
40lb No 2,10/31/2016,0
40lb Organic,10/31/2016,0
40lb Spc-Purple,10/31/2016,0
40lb Spec-Burgundy,10/31/2016,0
40lb Spec-Carolina Ruby,10/31/2016,0
500kg (150-300g),10/31/2016,0
500kg (220g-260g),10/31/2016,0
500kg (300-800g),10/31/2016,0
500kg Field Run,10/31/2016,0
500kg Giant,10/31/2016,0
500kg Pickouts,10/31/2016,0
500kg Spc - Purple ,10/31/2016,0
500kg Spc-Purple Mix,10/31/2016,0
"55"" Bin Giant",10/31/2016,0
6kg (150-300g),10/31/2016,0
6kg (300-450g)L1,10/31/2016,0
6kg (450-600g)L2,10/31/2016,0
6kg (600-800g),10/31/2016,0
HP StkHse (12-16oz),10/31/2016,0
Micro - 6Kg (24ct),10/31/2016,0
Micro 20lb 25ct,10/31/2016,0
Micro 20lb 30ct,10/31/2016,0
Murasaki Small Plastic,10/31/2016,0
Pickouts - Plastic,10/31/2016,0
Tray Pack - 4 pk 12 ct,10/31/2016,0
Unused,10/31/2016,0
10lb #1,11/30/2016,2
10lb Spec-Purple,11/30/2016,1
12/3lb Bags,11/30/2016,2
12ct Steam Bags,11/30/2016,1
18kg (100-150g),11/30/2016,2
18kg (220-260g),11/30/2016,0
18kg (300-450g),11/30/2016,1
18kg (600-800g),11/30/2016,0
20lb #1,11/30/2016,0
20lb Purple,11/30/2016,0
20lb Spec - Bonita No 1,11/30/2016,0
"36""Pickouts(2.5""-4.5"")",11/30/2016,0
40lb #1 Sysco/FP,11/30/2016,0
40lb 100ct,11/30/2016,0
40lb 110ct,11/30/2016,0
40lb 120ct - CV,11/30/2016,0
40lb 25-28ct - CV,11/30/2016,0
40lb 33ct,11/30/2016,1
40lb 35ct Sysco/FP,11/30/2016,0
40lb 38-40ct - CV,11/30/2016,0
40lb 45ct,11/30/2016,2
40lb 50ct,11/30/2016,1
40lb 55-65ct - CV,11/30/2016,0
40lb 55ct,11/30/2016,1
40lb 65-85ct,11/30/2016,1
40lb 65ct,11/30/2016,1
40lb 65ct Sysco/FP,11/30/2016,0
40lb 70-80ct - CV,11/30/2016,0
40lb 70ct,11/30/2016,2
40lb 75ct,11/30/2016,1
40lb 90ct,11/30/2016,2
40lb 90ct - Cap D's,11/30/2016,1
40lb Bonita (White),11/30/2016,1
40lb Bonita JBO,11/30/2016,0
40lb Fingerling,11/30/2016,2
40lb Jumbo,11/30/2016,1
40lb Marble Mix,11/30/2016,0
40lb Medium,11/30/2016,0
40lb Murasaki Med,11/30/2016,0
40lb No 1,11/30/2016,0
40lb No 2,11/30/2016,1
40lb Organic,11/30/2016,3
40lb Spc-Purple,11/30/2016,1
40lb Spec-Burgundy,11/30/2016,0
40lb Spec-Carolina Ruby,11/30/2016,0
500kg (150-300g),11/30/2016,0
500kg (220g-260g),11/30/2016,0
500kg (300-800g),11/30/2016,0
500kg Field Run,11/30/2016,1
500kg Giant,11/30/2016,0
500kg Pickouts,11/30/2016,0
500kg Spc - Purple ,11/30/2016,0
500kg Spc-Purple Mix,11/30/2016,0
"55"" Bin Giant",11/30/2016,2
6kg (150-300g),11/30/2016,0
6kg (300-450g)L1,11/30/2016,2
6kg (450-600g)L2,11/30/2016,1
6kg (600-800g),11/30/2016,0
