Description,GTINShipDate,Quantity
Micro 20lb 30ct,6/30/2016,1
40lb Jumbo,6/30/2016,1
"55"" Bin Giant",6/30/2016,1
500kg Field Run,6/30/2016,1
6kg (450-600g)L2,6/30/2016,1
40lb No 1,6/30/2016,1
40lb 65-85ct,6/30/2016,1
40lb 120ct - CV,7/7/2016,1
40lb 25-28ct - CV,7/7/2016,1
40lb Fingerling,7/7/2016,1
18kg (100-150g),7/7/2016,1
40lb 45ct,7/7/2016,1
40lb Bonita (White),7/7/2016,1
500kg Giant,7/7/2016,1
"55"" Bin Giant",7/7/2016,1
40lb Bonita JBO,7/7/2016,1
40lb Spc-Purple,7/7/2016,1
40lb No 1,7/7/2016,1
6kg (300-450g)L1,7/7/2016,1
40lb Medium,7/7/2016,1
40lb 70ct,7/7/2016,1
40lb 100ct,7/7/2016,1
40lb Jumbo,7/7/2016,1
40lb 65-85ct,7/7/2016,1
40lb 70-80ct - CV,7/7/2016,1
40lb 33ct,7/7/2016,1
Tray Pack - 4 pk 12 ct,7/7/2016,1
40lb Murasaki Med,7/7/2016,1
40lb 55ct,7/7/2016,1
40lb 90ct,7/7/2016,1
40lb 65ct,7/7/2016,1
Micro - 6Kg (24ct),7/7/2016,1
40lb 75ct,7/7/2016,1
20lb #1,7/7/2016,1
12/3lb Bags,7/7/2016,1
40lb No 2,7/7/2016,1
Micro 20lb 30ct,7/7/2016,1
6kg (450-600g)L2,7/7/2016,1
40lb 110ct,7/7/2016,1
40lb 65ct Sysco/FP,7/7/2016,1
40lb 50ct,7/7/2016,1
40lb 55-65ct - CV,7/7/2016,1
40lb Organic,7/7/2016,1
20lb Spec - Bonita No 1,7/7/2016,1
18kg (220-260g),7/18/2016,1
18kg (600-800g),7/18/2016,1
18kg (100-150g),7/18/2016,1
40lb 65ct Sysco/FP,7/18/2016,1
40lb 90ct,7/18/2016,1
6kg (450-600g)L2,7/18/2016,1
40lb 55-65ct - CV,7/18/2016,1
"55"" Bin Giant",7/18/2016,1
